PassengerId,Survived
892,1
893,0
894,1
895,0
896,0
897,0
898,0
899,1
900,0
901,1
902,1
903,0
904,0
905,0
906,0
907,0
908,0
909,1
910,1
911,1
912,1
913,0
914,0
915,0
916,0
917,0
918,1
919,1
920,1
921,1
922,1
923,1
924,0
925,0
926,1
927,1
928,0
929,1
930,1
931,0
932,1
933,0
934,1
935,0
936,1
937,0
938,1
939,1
940,0
941,1
942,1
943,1
944,1
945,1
946,0
947,1
948,0
949,1
950,1
951,0
952,0
953,1
954,1
955,0
956,0
957,0
958,1
959,0
960,1
961,0
962,1
963,0
964,1
965,1
966,0
967,0
968,1
969,1
970,0
971,0
972,0
973,1
974,1
975,1
976,0
977,1
978,1
979,1
980,0
981,1
982,0
983,1
984,1
985,1
986,0
987,1
988,1
989,0
990,0
991,1
992,1
993,1
994,0
995,0
996,1
997,0
998,1
999,1
1000,1
1001,0
1002,0
1003,0
1004,1
1005,0
1006,1
1007,1
1008,1
1009,0
1010,1
1011,1
1012,0
1013,1
1014,0
1015,1
1016,1
1017,0
1018,0
1019,0
1020,0
1021,1
1022,1
1023,1
1024,0
1025,1
1026,1
1027,0
1028,1
1029,0
1030,1
1031,0
1032,0
1033,0
1034,0
1035,0
1036,1
1037,0
1038,1
1039,0
1040,1
1041,1
1042,1
1043,0
1044,1
1045,0
1046,1
1047,0
1048,1
1049,0
1050,0
1051,0
1052,0
1053,0
1054,0
1055,0
1056,1
1057,0
1058,0
1059,1
1060,0
1061,1
1062,1
1063,0
1064,0
1065,0
1066,1
1067,1
1068,0
1069,1
1070,1
1071,0
1072,0
1073,1
1074,0
1075,0
1076,1
1077,1
1078,1
1079,1
1080,1
1081,1
1082,1
1083,1
1084,1
1085,1
1086,0
1087,1
1088,1
1089,0
1090,0
1091,0
1092,0
1093,1
1094,1
1095,1
1096,0
1097,1
1098,1
1099,0
1100,1
1101,0
1102,1
1103,1
1104,0
1105,1
1106,0
1107,1
1108,0
1109,1
1110,1
1111,1
1112,0
1113,0
1114,0
1115,0
1116,0
1117,1
1118,1
1119,0
1120,1
1121,1
1122,0
1123,0
1124,1
1125,1
1126,0
1127,1
1128,0
1129,1
1130,0
1131,1
1132,1
1133,1
1134,0
1135,1
1136,1
1137,1
1138,0
1139,1
1140,0
1141,1
1142,1
1143,0
1144,0
1145,1
1146,1
1147,0
1148,1
1149,1
1150,1
1151,0
1152,1
1153,0
1154,0
1155,0
1156,0
1157,1
1158,0
1159,1
1160,1
1161,0
1162,1
1163,0
1164,1
1165,0
1166,1
1167,0
1168,0
1169,1
1170,1
1171,0
1172,1
1173,1
1174,1
1175,1
1176,1
1177,0
1178,0
1179,1
1180,1
1181,0
1182,0
1183,1
1184,0
1185,0
1186,1
1187,1
1188,1
1189,0
1190,0
1191,1
1192,1
1193,1
1194,0
1195,1
1196,0
1197,1
1198,1
1199,0
1200,1
1201,1
1202,0
1203,1
1204,0
1205,0
1206,0
1207,0
1208,0
1209,0
1210,0
1211,0
1212,0
1213,1
1214,1
1215,1
1216,1
1217,0
1218,0
1219,0
1220,1
1221,1
1222,1
1223,1
1224,1
1225,1
1226,0
1227,1
1228,1
1229,0
1230,1
1231,0
1232,0
1233,1
1234,0
1235,1
1236,0
1237,1
1238,0
1239,0
1240,0
1241,1
1242,0
1243,0
1244,0
1245,1
1246,0
1247,1
1248,1
1249,1
1250,0
1251,0
1252,0
1253,0
1254,0
1255,0
1256,1
1257,1
1258,0
1259,0
1260,1
1261,1
1262,0
1263,0
1264,0
1265,1
1266,0
1267,0
1268,0
1269,0
1270,1
1271,0
1272,0
1273,0
1274,1
1275,0
1276,0
1277,0
1278,0
1279,1
1280,1
1281,1
1282,1
1283,1
1284,0
1285,0
1286,1
1287,1
1288,1
1289,1
1290,1
1291,1
1292,1
1293,0
1294,1
1295,0
1296,1
1297,1
1298,0
1299,0
1300,1
1301,0
1302,0
1303,0
1304,0
1305,1
1306,1
1307,0
1308,1
1309,1
